instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
cello,irmas,irmas,0.5496688741721855,0.8829787234042553,0.6775510204081633,94.0,0.9525810324129652,0.9736411130962049,0.7735645815534316,openl3-klda-genre
clarinet,irmas,irmas,0.6258992805755396,0.6850393700787402,0.6541353383458647,127.0,0.9447779111644657,0.9240073061042808,0.7398606275330191,openl3-klda-genre
flute,irmas,irmas,0.6585365853658537,0.6694214876033058,0.6639344262295083,121.0,0.9507803121248499,0.931375538259916,0.7357442772671295,openl3-klda-genre
guitar,irmas,irmas,0.782608695652174,0.884393063583815,0.830393487109905,346.0,0.924969987995198,0.9667192152741286,0.8848398603916761,openl3-klda-genre
organ,irmas,irmas,0.8238341968911918,0.9137931034482759,0.8664850136239781,174.0,0.9705882352941176,0.9913446426920588,0.9140681962675602,openl3-klda-genre
piano,irmas,irmas,0.8531073446327684,0.888235294117647,0.8703170028818444,170.0,0.9729891956782714,0.9819833280905945,0.9335020580464913,openl3-klda-genre
saxophone,irmas,irmas,0.4972972972972973,0.6133333333333333,0.5492537313432836,150.0,0.9093637454981993,0.8885971855760775,0.5544383295847977,openl3-klda-genre
trumpet,irmas,irmas,0.7349397590361446,0.8133333333333334,0.7721518987341773,150.0,0.9567827130852341,0.9525153913808267,0.8507618007227176,openl3-klda-genre
violin,irmas,irmas,0.4423963133640553,0.6713286713286714,0.5333333333333334,143.0,0.8991596638655462,0.9030116305231211,0.5723979037376281,openl3-klda-genre
voice,irmas,irmas,0.8755980861244019,0.9581151832460733,0.9149999999999999,191.0,0.9795918367346939,0.9957511757919958,0.9708880909556424,openl3-klda-genre
cello,openmic,openmic,0.7574468085106383,0.7876106194690266,0.772234273318872,226.0,0.7835051546391752,0.8922848259131445,0.861800664366202,openl3-klda-genre
clarinet,openmic,openmic,0.375,0.6788321167883211,0.4831168831168831,137.0,0.6890625,0.7816749140195324,0.475099461505885,openl3-klda-genre
flute,openmic,openmic,0.5018587360594795,0.7714285714285715,0.6081081081081081,175.0,0.6903914590747331,0.7906829088224437,0.6334932800284432,openl3-klda-genre
guitar,openmic,openmic,0.989247311827957,0.965034965034965,0.9769911504424779,286.0,0.9701834862385321,0.9883682983682984,0.9937945728599,openl3-klda-genre
organ,openmic,openmic,0.5763888888888888,0.6859504132231405,0.6264150943396226,121.0,0.7703016241299304,0.832178085843775,0.6171038502239428,openl3-klda-genre
piano,openmic,openmic,0.9547038327526133,0.9614035087719298,0.9580419580419581,285.0,0.9421686746987952,0.9805128205128205,0.990576664456475,openl3-klda-genre
saxophone,openmic,openmic,0.7832817337461301,0.8295081967213115,0.8057324840764332,305.0,0.8060413354531002,0.8976320582877959,0.893473610203495,openl3-klda-genre
trumpet,openmic,openmic,0.7344632768361582,0.8176100628930818,0.7738095238095238,318.0,0.8063694267515924,0.8729074919531871,0.8275560878308388,openl3-klda-genre
violin,openmic,openmic,0.874384236453202,0.9010152284263959,0.8875,394.0,0.8573692551505546,0.9286020261731884,0.9450141408601769,openl3-klda-genre
voice,openmic,openmic,0.926605504587156,0.9017857142857143,0.9140271493212669,224.0,0.8983957219251337,0.9715773809523809,0.9817438493023463,openl3-klda-genre
cello,irmas,openmic,0.6181818181818182,0.3008849557522124,0.4047619047619048,226.0,0.5876288659793815,0.6763761232787782,0.6208655875942752,openl3-klda-genre
clarinet,irmas,openmic,0.34210526315789475,0.2846715328467153,0.31075697211155384,137.0,0.7296875,0.6765538157913832,0.33402347491343093,openl3-klda-genre
flute,irmas,openmic,0.5752212389380531,0.37142857142857144,0.4513888888888889,175.0,0.7188612099644128,0.7219785898855666,0.5340788914003419,openl3-klda-genre
guitar,irmas,openmic,0.987012987012987,0.7972027972027972,0.8820116054158607,286.0,0.8600917431192661,0.9651748251748252,0.9832648486158587,openl3-klda-genre
organ,irmas,openmic,0.7021276595744681,0.2727272727272727,0.39285714285714285,121.0,0.7633410672853829,0.6971740869101573,0.5000224366438598,openl3-klda-genre
piano,irmas,openmic,0.9872881355932204,0.8175438596491228,0.8944337811900192,285.0,0.8674698795180723,0.9646963562753036,0.9846358058561617,openl3-klda-genre
saxophone,irmas,openmic,0.776536312849162,0.4557377049180328,0.5743801652892562,305.0,0.6724960254372019,0.7543311070633475,0.743412493878772,openl3-klda-genre
trumpet,irmas,openmic,0.6938775510204082,0.32075471698113206,0.4387096774193548,318.0,0.6675159235668789,0.7292365291638049,0.631382749272859,openl3-klda-genre
violin,irmas,openmic,0.8766666666666667,0.6675126903553299,0.7579250720461095,394.0,0.7337559429477021,0.8556298057358265,0.8968907007823703,openl3-klda-genre
voice,irmas,openmic,0.9793103448275862,0.6339285714285714,0.7696476964769646,224.0,0.7727272727272727,0.9650000000000001,0.9755988098351365,openl3-klda-genre
cello,openmic,irmas,0.18564356435643564,0.7978723404255319,0.30120481927710846,94.0,0.7911164465786314,0.8655595257430567,0.3467498790502874,openl3-klda-genre
clarinet,openmic,irmas,0.2893772893772894,0.6220472440944882,0.395,127.0,0.8547418967587035,0.8543486157797526,0.28558910362374407,openl3-klda-genre
flute,openmic,irmas,0.22070844686648503,0.6694214876033058,0.3319672131147541,121.0,0.8043217286914766,0.8025408542619487,0.26572385370050744,openl3-klda-genre
guitar,openmic,irmas,0.5018315018315018,0.791907514450867,0.6143497757847535,346.0,0.7935174069627852,0.8796439831844456,0.6821489713762999,openl3-klda-genre
organ,openmic,irmas,0.04294478527607362,0.040229885057471264,0.04154302670623145,174.0,0.8061224489795918,0.35670318326091643,0.0768141124940113,openl3-klda-genre
piano,openmic,irmas,0.2811881188118812,0.8352941176470589,0.4207407407407408,170.0,0.7653061224489796,0.8853452343504248,0.698118189972978,openl3-klda-genre
saxophone,openmic,irmas,0.23404255319148937,0.66,0.3455497382198953,150.0,0.7749099639855942,0.8047273526824977,0.2975774009094298,openl3-klda-genre
trumpet,openmic,irmas,0.37666666666666665,0.7533333333333333,0.5022222222222222,150.0,0.865546218487395,0.893377308707124,0.5570792689159042,openl3-klda-genre
violin,openmic,irmas,0.2493368700265252,0.6573426573426573,0.36153846153846153,143.0,0.8007202881152461,0.816156922525931,0.358680378680862,openl3-klda-genre
voice,openmic,irmas,0.5531914893617021,0.9528795811518325,0.7000000000000001,191.0,0.9063625450180072,0.9831715325228503,0.9319186834276804,openl3-klda-genre
